"NC Code
(7-stellig)","NC Code
(5-stellig)",NC-Bezeichnung,"Raum-
bezeichnung",Raumtyp,"Anzahl
Räume
(Summe)","230 V, 16 A","230 V, 32 A","NEA 230 V, 16 A",400 V / 16 A,400 V / 32 A,400 V / 63 A,NEA (400V/16A) PHYF,EDV RJ45,PE Erdungsschiene,Strombedarf (Leist.) in kW,Strombedarf (Gleichzeitigkeit) in kW,Steckdosen 230V 16A,Steckdosen 400V 16A,sep. Kreislauf,EDV (RJ45),USV,Not-Aus,SI,Schalter,Pot.-Ausgleich,Leistungsstabilität,Überspannungsschutz,Druckluft (CA),Stickstoff (N2),Kohlenstoffdioxid (CO2),Reinstgase nicht näher genannt ,Schutzgas nicht näher genannt Ringleitung (Druckminderer),Vakuum,CA-Netz,SA,Propan,N² (fl.),H² (fl.),LPG,Butan,Methan,CA+,N² (Gas),He,Ar,CO²,O²,H² (gas),C2H2,Zahl,C2H4,(CN)2,Kr,Lachgas,Ne,NH3,Xe,lokal Medien,Laborwasser kalt,Laborwasser warm (Durchlauferhitzer),VE-Wasser,Reinstwasser,Laborabwasser,Kühlwasser Vor- und Rücklauf,Zisternenwasser,Eismaschine (inklusive Abwasser),WNC,WNH,WPC,WPH,WDC,WDH,RW,KWV,KWR,Dampf,Abwasser,Abluft Abzug 480 m³/h,Punktabsaugung 100 m³/h,Schnüffelabsaugung 25 m³/h,Pumpenabluft für Vakuumpumpen (z.T. mit Öl kontaminiert) 5m³/h,Gefahrstoffunterschrank unter Abzug 3 m³/h (24-h-Abluft),Gefahrstoffschrank 60 m³/h (24-h-Abluft),Gefahrstoffschrank 60 4 m³/h (24-h-Abluft) ,Gefahrstoffschrank 90 7 m³/h (24-h-Abluft) ,Gefahrstoffschrank 120 10 m³/h (24-h-Abluft) ,LAN / Daten Geschwindigkeit in Mbit/s,"Mindest-
fläche
m²",Mindesthöhe,"Zugangs-
bereich","Platzierungs-
beschränk.","Tragfähigkeit
Boden","Vibrations-
dämpfung",Status,Raumbeschreibung
1212101,12121,Aufenthaltsraum mit Teeküche,Teeküche,B5,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
1212102,12121,Aufenthaltsraum mit Teeküche,Aufenthaltsraum,GWH_10,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
1212103,12121,Aufenthaltsraum mit Teeküche,Solzialraum,MH_15,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
1212200,12122,Aufenthaltsraum mit Teeküche und  RLT 1,Teeküche / Lounge / Besprechung,UB_19,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
1312101,13121,Teeküche (ohne Aufenthalt),Teeküche S,UB_19,8,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
1312102,13121,Teeküche (ohne Aufenthalt),Teeküche/Service,UB_19,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
1312103,13121,Teeküche (ohne Aufenthalt),Teeküche/Service groß,UB_19,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
1511100,15111,Speiseraum,Speiseraum allgemein,Speise,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
1521100,15211,Cafeteria,Cafeteria,Cafe,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
2111101,21111,Büroraum,Doppelbüromodul,B1,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,Zu Erledigen,
